Title,Platforms,Date,Developers
WWE 2K17,Xbox 360,"October 11, 2016",Yuke's / Visual Concepts
WWE 2K17,Xbox One,"October 11, 2016",Yuke's / Visual Concepts
Mafia III,Microsoft Windows,"October 7, 2016",Hangar 13 / 2K Czech / 22nd Century Toys / Blind Squirrel Games / Certain Affinity / Mass Media Games
Mafia III,PlayStation 4,"October 7, 2016",Hangar 13 / 2K Czech / 22nd Century Toys / Blind Squirrel Games / Certain Affinity / Mass Media Games
Mafia III,Xbox One,"October 7, 2016",Hangar 13 / 2K Czech / 22nd Century Toys / Blind Squirrel Games / Certain Affinity / Mass Media Games
Mafia III: Rivals,Android,"October 7, 2016",Cat Daddy Games
Mafia III: Rivals,iOS,"October 7, 2016",Cat Daddy Games
XCOM 2,PlayStation 4,"September 27, 2016",Firaxis Games / Blind Squirrel Games
XCOM 2,Xbox One,"September 27, 2016",Firaxis Games / Blind Squirrel Games
NBA 2K17,Android,"September 22, 2016",Visual Concepts China
NBA 2K17,iOS,"September 22, 2016",Visual Concepts China
NBA 2K17,Microsoft Windows,"September 20, 2016",Visual Concepts
NBA 2K17,PlayStation 3,"September 20, 2016",Virtuos / Visual Concepts
NBA 2K17,PlayStation 4,"September 20, 2016",Visual Concepts
NBA 2K17,Xbox 360,"September 20, 2016",Virtuos / Visual Concepts
NBA 2K17,Xbox One,"September 20, 2016",Visual Concepts
BioShock Remastered,Microsoft Windows,"September 15, 2016",Blind Squirrel Games
BioShock 2 Remastered,Microsoft Windows,"September 15, 2016",Blind Squirrel Games
BioShock: The Collection,PlayStation 4,"September 13, 2016",Blind Squirrel Games
BioShock: The Collection,Xbox One,"September 13, 2016",Blind Squirrel Games
NBA 2K17: The Prelude,PlayStation 4,"September 9, 2016",Visual Concepts
NBA 2K17: The Prelude,Xbox One,"September 9, 2016",Visual Concepts
MyNBA 2K17,Android,"September 8, 2016",Cat Daddy Games
MyNBA 2K17,Fire OS,"September 8, 2016",Cat Daddy Games
MyNBA 2K17,iOS,"September 8, 2016",Cat Daddy Games
Borderlands 2,Android,"July 21, 2016",Gearbox Software
Borderlands 2,Nvidia Shield Tablet,"July 21, 2016",Gearbox Software
Evolve Stage 2,Microsoft Windows,"July 7, 2016",Turtle Rock Studios
XCOM: Enemy Unknown,Xbox One Backwards Compatible,"May 24, 2016",Firaxis Games / 2K China / Blind Squirrel Games
Battleborn,Microsoft Windows,"May 3, 2016",Gearbox Software / OMNOM! Workshop / Secret Sauce / Humouring the Fates / Liquid Development / Ghostpunch Games
Battleborn,PlayStation 4,"May 3, 2016",Gearbox Software / OMNOM! Workshop / Secret Sauce / Humouring the Fates / Liquid Development / Ghostpunch Games
Battleborn,Xbox One,"May 3, 2016",Gearbox Software / OMNOM! Workshop / Secret Sauce / Humouring the Fates / Liquid Development / Ghostpunch Games
Battleborn Tap,Android,"April 27, 2016",Bee Square
Battleborn Tap,iOS,"April 27, 2016",Bee Square
Tales from the Borderlands,Microsoft Windows,"April 26, 2016",Telltale Games
Tales from the Borderlands,PlayStation 3,"April 26, 2016",Telltale Games
Tales from the Borderlands,PlayStation 4,"April 26, 2016",Telltale Games
Tales from the Borderlands,Xbox 360,"April 26, 2016",Telltale Games
Tales from the Borderlands,Xbox One,"April 26, 2016",Telltale Games
Borderlands: The Pre-Sequel!,Android,"March 31, 2016",Gearbox Software
Borderlands: The Pre-Sequel!,Nvidia Shield Tablet,"March 31, 2016",Gearbox Software
Sid Meier's Civilization Revolution 2 Plus,PlayStation Vita,"March 29, 2016",Firaxis Games
XCOM: Enemy Unknown Plus,PlayStation Vita,"March 22, 2016",Firaxis Games
WWE 2K16,Microsoft Windows,"March 11, 2016",QLOC
XCOM 2,Linux,"February 5, 2016",Feral Interactive
XCOM 2,macOS,"February 5, 2016",Feral Interactive
XCOM 2,Microsoft Windows,"February 5, 2016",Firaxis Games / The Workshop
Sid Meier's Civilization Online,Microsoft Windows,"December 2, 2015",XL Games
WWE 2K16,PlayStation 3,"October 27, 2015",Yuke's / Visual Concepts
WWE 2K16,PlayStation 4,"October 27, 2015",Yuke's / Visual Concepts
WWE 2K16,Xbox 360,"October 27, 2015",Yuke's / Visual Concepts
WWE 2K16,Xbox One,"October 27, 2015",Yuke's / Visual Concepts
NBA 2K16,Android,"October 14, 2015",Visual Concepts China
NBA 2K16,iOS,"October 14, 2015",Visual Concepts China
NHL SuperCard,Android,"October 8, 2015",Cat Daddy Games / Wahoo Studios
NHL SuperCard,Fire OS,"October 8, 2015",Cat Daddy Games / Wahoo Studios
NHL SuperCard,iOS,"October 8, 2015",Cat Daddy Games / Wahoo Studios
MyNBA 2K16,Android,"October 1, 2015",Cat Daddy Games
MyNBA 2K16,iOS,"October 1, 2015",Cat Daddy Games
NBA 2K16,Microsoft Windows,"September 29, 2015",Visual Concepts
NBA 2K16,PlayStation 3,"September 29, 2015",Visual Concepts / Visual Concepts South Korea
NBA 2K16,PlayStation 4,"September 29, 2015",Visual Concepts
NBA 2K16,Xbox 360,"September 29, 2015",Visual Concepts / Visual Concepts South Korea
NBA 2K16,Xbox One,"September 29, 2015",Visual Concepts
Borderlands,Xbox One Backwards Compatible,"September 3, 2015",Gearbox Software
WWE SuperCard – Season 2,Android,"August 20, 2015",Cat Daddy Games
WWE SuperCard – Season 2,Fire OS,"August 20, 2015",Cat Daddy Games
WWE SuperCard – Season 2,iOS,"August 20, 2015",Cat Daddy Games
Spec Ops: The Line,Linux,"May 14, 2015",Virtual Programming
WWE 2K15,Microsoft Windows,"April 28, 2015",QLOC
WWE 2K,Android,"April 16, 2015",N-Space
WWE 2K,Fire OS,"April 16, 2015",N-Space
WWE 2K,iOS,"April 16, 2015",N-Space
Borderlands: The Handsome Collection,PlayStation 4,"March 24, 2015",Armature Studio / Iron Galaxy Studios
Borderlands: The Handsome Collection,Xbox One,"March 24, 2015",Armature Studio / Iron Galaxy Studios
BioShock Infinite,Linux,"March 17, 2015",Virtual Programming
Sid Meier's Starships,iOS,"March 12, 2015",Firaxis Games
Sid Meier's Starships,macOS,"March 12, 2015",Firaxis Games
Sid Meier's Starships,Microsoft Windows,"March 12, 2015",Firaxis Games
Evolve,Microsoft Windows,"February 10, 2015",Turtle Rock Studios / Agora Games / Blind Squirrel Games / Crytek / IllFonic / Mass Media Games
Evolve,PlayStation 4,"February 10, 2015",Mass Media Games
Evolve,Xbox One,"February 10, 2015",Turtle Rock Studios / Agora Games / Blind Squirrel Games / Crytek / IllFonic / Mass Media Games
Evolve: Hunter's Quest,Android,"January 29, 2015",Cat Daddy Games
Evolve: Hunter's Quest,iOS,"January 29, 2015",Cat Daddy Games
Evolve: Hunter's Quest,Microsoft Windows Apps,"January 29, 2015",Cat Daddy Games
Evolve: Hunter's Quest,Windows Phone,"January 29, 2015",Cat Daddy Games
Sid Meier's Civilization: Beyond Earth,Linux,"December 18, 2014",Aspyr
Sid Meier's Civilization: Beyond Earth,macOS,"November 26, 2014",Aspyr
WWE 2K15,PlayStation 4,"November 18, 2014",Yuke's / Visual Concepts
WWE 2K15,Xbox One,"November 18, 2014",Yuke's / Visual Concepts
Sid Meier's Civilization Revolution 2,Android,"November 7, 2014",2K China / Firaxis Games
WWE 2K15,PlayStation 3,"October 28, 2014",Yuke's / Visual Concepts / QLOC / Mineloader / Winking Entertainment / Original Force / Pixelgun Studio
WWE 2K15,Xbox 360,"October 28, 2014",Yuke's / Visual Concepts / QLOC / Mineloader / Winking Entertainment / Original Force / Pixelgun Studio
Sid Meier's Civilization: Beyond Earth,Microsoft Windows,"October 24, 2014",Firaxis Games
NHL 2K,Android,"October 23, 2014",Visual Concepts China / Virtuos
NHL 2K,iOS,"October 23, 2014",Visual Concepts China / Virtuos
NBA 2K15,Android,"October 15, 2014",Visual Concepts China
NBA 2K15,Fire OS,"October 15, 2014",Visual Concepts China
NBA 2K15,iOS,"October 15, 2014",Visual Concepts China
Borderlands: The Pre-Sequel!,Linux,"October 14, 2014",Aspyr
Borderlands: The Pre-Sequel!,macOS,"October 14, 2014",Aspyr
Borderlands: The Pre-Sequel!,Microsoft Windows,"October 14, 2014",2K Australia / Gearbox Software / Darkside Game Studios / 2K China
Borderlands: The Pre-Sequel!,PlayStation 3,"October 14, 2014",2K Australia / Gearbox Software / Darkside Game Studios / 2K China
Borderlands: The Pre-Sequel!,Xbox 360,"October 14, 2014",2K Australia / Gearbox Software / Darkside Game Studios / 2K China
MyNBA 2K15,Android,"October 13, 2014",Cat Daddy Games
MyNBA 2K15,iOS,"October 13, 2014",Cat Daddy Games
NBA 2K15,Microsoft Windows,"October 7, 2014",Visual Concepts
NBA 2K15,PlayStation 3,"October 7, 2014",Visual Concepts
NBA 2K15,PlayStation 4,"October 7, 2014",Visual Concepts
NBA 2K15,Xbox 360,"October 7, 2014",Visual Concepts
NBA 2K15,Xbox One,"October 7, 2014",Visual Concepts
Borderlands 2,Linux,"September 30, 2014",Aspyr
BioShock,iOS,"August 28, 2014",2K China
WWE SuperCard,Android,"August 14, 2014",Cat Daddy Games
WWE SuperCard,Fire OS,"August 14, 2014",Cat Daddy Games
WWE SuperCard,iOS,"August 14, 2014",Cat Daddy Games
Sid Meier's Civilization Revolution 2,iOS,"July 2, 2014",2K China / Firaxis Games
XCOM: Enemy Unknown,Linux,"June 19, 2014",Feral Interactive
Sid Meier's Civilization V,Linux,"June 10, 2014",Aspyr
Borderlands 2,PlayStation Vita,"May 13, 2014",Iron Galaxy Studios
XCOM: Enemy Unknown,Android,"April 25, 2014",2K China / Virtuos
NBA 2K14,Android,"March 27, 2014",Visual Concepts China
Sensei Wars,Android,"December 11, 2013",Cat Daddy Games
Sensei Wars,iOS,"December 11, 2013",Cat Daddy Games
The Bureau: XCOM Declassified,macOS,"November 28, 2013",TransGaming
NBA 2K14,Xbox One,"November 19, 2013",Visual Concepts / Visual Concepts China
NBA 2K14,PlayStation 4,"November 15, 2013",Visual Concepts / Visual Concepts China
BioShock 2,Microsoft Windows,"February 9, 2010",2K Marin / 2K Australia / Digital Extremes / Arkane Studios / 2K Boston
BioShock 2,PlayStation 3,"February 9, 2010",2K Marin / 2K Australia / Digital Extremes / Arkane Studios / 2K Boston
BioShock 2,Xbox 360,"February 9, 2010",2K Marin / 2K Australia / Digital Extremes / Arkane Studios / 2K Boston
The Misadventures of P.B. Winterbottom,Xbox Live Arcade,"February 17, 2010",The Odd Gentlemen
Major League Baseball 2K10,Microsoft Windows,"March 2, 2010",Visual Concepts
Major League Baseball 2K10,Nintendo DS,"March 2, 2010",Powerhead Studios
Major League Baseball 2K10,PlayStation 2,"March 2, 2010",2K China
Major League Baseball 2K10,PlayStation 3,"March 2, 2010",Visual Concepts
Major League Baseball 2K10,PlayStation Portable,"March 2, 2010",2K China
Major League Baseball 2K10,Wii,"March 2, 2010",2K China
Major League Baseball 2K10,Xbox 360,"March 2, 2010",Visual Concepts
The Misadventures of P.B. Winterbottom,Microsoft Windows,"April 20, 2010",2K Hangzhou
Dora the Explorer: Dora's Big Birthday Adventure,Nintendo DS,"August 3, 2010",Black Lantern Studios
Mafia II,Microsoft Windows,"August 24, 2010",2K Czech
Mafia II,PlayStation 3,"August 24, 2010",2K Czech
Mafia II,Xbox 360,"August 24, 2010",2K Czech
NHL 2K11,iOS,"August 24, 2010",2K China
NHL 2K11,Wii,"August 24, 2010",Visual Concepts
Carnival Games,iOS,"September 10, 2010",2K China
New Carnival Games,Nintendo DS,"September 21, 2010",Cat Daddy Games
New Carnival Games,Wii,"September 21, 2010",Cat Daddy Games
Sid Meier's Civilization V,Microsoft Windows,"September 21, 2010",Firaxis Games / 2K Shanghai
NBA 2K11,Microsoft Windows,"October 5, 2010",Visual Concepts
NBA 2K11,PlayStation 2,"October 5, 2010",Visual Concepts
NBA 2K11,PlayStation 3,"October 5, 2010",Visual Concepts
NBA 2K11,PlayStation Portable,"October 5, 2010",2K China
NBA 2K11,Wii,"October 5, 2010",Visual Concepts
NBA 2K11,Xbox 360,"October 5, 2010",Visual Concepts
Sid Meier's Pirates!,Wii,"October 5, 2010",2K China / Virtuos
Axel & Pixel,Microsoft Windows,"October 6, 2010",Silver Wish Games
Dora the Explorer: Dora's Big Birthday Adventure,PlayStation 2,"October 26, 2010",High Voltage Software
Dora the Explorer: Dora's Big Birthday Adventure,Wii,"October 26, 2010",High Voltage Software
Dora's Cooking Club,Nintendo DS,"October 26, 2010",Black Lantern Studios
Mega Bloks: Diego's Build and Rescue,Nintendo DS,"October 26, 2010",Black Lantern Studios
Nickelodeon Fit,Wii,"November 10, 2010",High Voltage Software
Sid Meier's Civilization V,macOS,"November 23, 2010",Aspyr
Borderlands: Game of the Year Edition,macOS,"December 3, 2010",Feral Interactive
Carnival Games Volume II,iOS,"February 9, 2011",2K China
Major League Baseball 2K11,Microsoft Windows,"March 8, 2011",Visual Concepts
Major League Baseball 2K11,Nintendo DS,"March 8, 2011",Virtuos
Major League Baseball 2K11,PlayStation 2,"March 8, 2011",Virtuos / 2K China
Major League Baseball 2K11,PlayStation 3,"March 8, 2011",Visual Concepts
Major League Baseball 2K11,PlayStation Portable,"March 8, 2011",Virtuos / 2K China
Major League Baseball 2K11,Wii,"March 8, 2011",2K China
Major League Baseball 2K11,Xbox 360,"March 8, 2011",Visual Concepts
Top Spin 4,PlayStation 3,"March 15, 2011",2K Czech / 2K China
Top Spin 4,Wii,"March 15, 2011",2K China
Top Spin 4,Xbox 360,"March 15, 2011",2K Czech / 2K China
Duke Nudem,Web Browser,"May 16, 2011",Ralph Creative Agency
Duke Nukem Forever,Microsoft Windows,"June 14, 2011",Gearbox Software / Triptych Games / Piranha Games / 3D Realms
