Title,Date,Platforms,Developers
Need for Speed: Most Wanted,"October 30, 2012",Kindle Fire,Criterion Games
Need for Speed: Most Wanted,"October 30, 2012",PlayStation 3,Criterion Games
Need for Speed: Most Wanted,"October 30, 2012",PlayStation Vita,Criterion Games
Need for Speed: Most Wanted,"October 30, 2012",Windows,Criterion Games
Need for Speed: Most Wanted,"October 30, 2012",Xbox 360,Criterion Games
Need for Speed: Most Wanted,"March 19, 2013",Wii U,Criterion Games
The Sims 3: Seasons,"November 13, 2012",Macintosh,Maxis Redwood Shores
The Sims 3: Seasons,"November 13, 2012",Windows,Maxis Redwood Shores
FIFA Online 3,"December 18, 2012",Windows,Electronic Arts / EA Spearhead
Dead Space 3,"February 5, 2013",PlayStation 3,Visceral Games
Dead Space 3,"February 5, 2013",Windows,Visceral Games
Dead Space 3,"February 5, 2013",Xbox 360,Visceral Games
Crysis 3,"February 19, 2013",PlayStation 3,Crytek
Crysis 3,"February 19, 2013",Windows,Crytek
Crysis 3,"February 19, 2013",Xbox 360,Crytek
Real Racing 3,"February 28, 2013",Android,Firemonkeys Studios
Real Racing 3,"February 28, 2013",iOS,Firemonkeys Studios
Real Racing 3,"August 28, 2013",BlackBerry,Firemonkeys Studios
The Sims 3: University Life,"March 5, 2013",Macintosh,EA Salt Lake
The Sims 3: University Life,"March 5, 2013",Windows,EA Salt Lake
SimCity,"March 6, 2013",Windows,Maxis Emeryville
SimCity,"August 29, 2013",Macintosh,Maxis Emeryville
Army of Two: The Devil's Cartel,"March 26, 2013",PlayStation 3,Visceral Games / EA Montreal
Army of Two: The Devil's Cartel,"March 26, 2013",Xbox 360,Visceral Games / EA Montreal
Tiger Woods PGA Tour 14,"March 26, 2013",PlayStation 3,EA Tiburon
Tiger Woods PGA Tour 14,"March 26, 2013",Xbox 360,EA Tiburon
Fuse,"May 28, 2013",PlayStation 3,Insomniac Games
Fuse,"May 28, 2013",Xbox 360,Insomniac Games
The Sims 3: Island Paradise,"June 25, 2013",Macintosh,Maxis Redwood Shores
The Sims 3: Island Paradise,"June 25, 2013",Windows,Maxis Redwood Shores
